index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
0,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,2023
1,0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31,2023
2,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,2023
3,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,2023
4,0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48,2023
5,0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47,2023
6,0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39,2023
7,0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,2023
8,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,2023
9,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33,2023
10,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,2023
11,0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27,2023
12,0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,2023
13,0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,2023
14,0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48,2023
15,0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62,2023
16,0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,2023
17,0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41,2023
18,0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47,2023
19,0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4,2023
20,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,2023
21,0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41,2023
22,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,2023
23,0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42,2023
24,0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4,2023
25,0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44,2023
26,0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75,2023
27,0.26,Very Good,D,VS2,60.8,59.0,4.13,4.16,2.52,2023
28,0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,2023
29,0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76,2023
30,0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75,2023
31,0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71,2023
32,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,2023
33,0.25,Very Good,E,VS2,63.3,60.0,4.0,4.03,2.54,2023
34,0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,2023
35,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,2023
36,0.22,Premium,D,VS2,59.3,62.0,3.91,3.88,2.31,2023
37,0.3,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63,2023
38,0.3,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67,2023
39,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,2023
40,0.3,Premium,D,SI1,62.6,59.0,4.23,4.27,2.66,2023
41,0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69,2023
